epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3033,2.66135,2.4979,1.48522,0.4,0.00178,0.20121,0.11061,2.63475,2.31752,1.48917,0.0684299,0.00166159,0.00166159
2,35.9465,2.57847,2.31427,1.4603,0.35556,0.01422,0.1847,0.07998,2.51053,2.29283,1.45148,0.0367303,0.0032953,0.0032953
3,52.209,2.54999,2.26247,1.45028,0.5,0.00089,0.25044,0.07509,2.77173,2.84828,1.72958,0.00499765,0.00489602,0.00489602
4,68.4261,2.51382,2.24402,1.43913,0,0,0,0,2.4552,2.10493,1.42534,0.0048515,0.0048515,0.0048515
5,84.6297,2.51355,2.21226,1.42187,0.5,0.00044,0.25022,0.15013,2.42018,2.09024,1.37434,0.004802,0.004802,0.004802
6,100.852,2.4345,2.18383,1.3857,0.3,0.00133,0.15056,0.07525,2.39805,2.11365,1.39415,0.0047525,0.0047525,0.0047525
7,117.068,2.42311,2.14519,1.37703,0.5,0.00694,0.25347,0.10139,2.60912,2.01575,1.43792,0.004703,0.004703,0.004703
8,133.393,2.42226,2.12209,1.38405,0.42857,0.00267,0.21578,0.11946,2.38591,2.0494,1.37854,0.0046535,0.0046535,0.0046535
9,149.644,2.40431,2.11858,1.37391,0.4375,0.00311,0.22042,0.09765,2.37158,1.96233,1.37731,0.004604,0.004604,0.004604
10,165.837,2.40086,2.11556,1.35749,0.5,0.00044,0.25022,0.12511,2.36877,1.93463,1.36377,0.0045545,0.0045545,0.0045545
11,182.019,2.35676,2.06876,1.34587,0.40909,0.004,0.20663,0.08533,2.38645,1.91437,1.37146,0.004505,0.004505,0.004505
12,198.219,2.35163,2.06,1.34633,0.5,0.00178,0.25088,0.11922,2.30077,1.9103,1.35686,0.0044555,0.0044555,0.0044555
13,214.489,2.35201,2.04832,1.33426,0.875,0.04433,0.46132,0.22938,2.29584,2.01954,1.31813,0.004406,0.004406,0.004406
