epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2947,3.06558,2.46624,1.27528,0.5,0.00032,0.25016,0.17511,2.60025,2.08771,1.09939,0.0700485,0.00332794,0.00332794
2,32.9188,2.98038,2.25738,1.26368,0.20357,0.03659,0.11184,0.03382,2.74213,1.99565,1.11987,0.0399826,0.00659533,0.00659533
3,46.9509,2.89157,2.24466,1.23607,0.2512,0.0337,0.13494,0.06053,2.51819,1.8658,1.06616,0.00985065,0.00979671,0.00979671
4,61.0679,2.86738,2.18955,1.22042,0.50371,0.08326,0.29965,0.10189,2.82684,1.80522,1.12808,0.009703,0.009703,0.009703
5,75.2429,2.83693,2.18129,1.21753,0.32017,0.09884,0.1942,0.0881,2.33189,1.7409,1.04336,0.009604,0.009604,0.009604
6,89.1274,2.81275,2.10597,1.19602,0.33333,0.02128,0.17792,0.08051,2.5969,1.81167,1.08367,0.009505,0.009505,0.009505
7,103.083,2.77918,2.1009,1.1921,0.32143,0.00289,0.16253,0.06715,2.55563,1.75105,1.06678,0.009406,0.009406,0.009406
8,117.341,2.74281,2.04463,1.18451,0.34105,0.07092,0.20062,0.10452,2.2796,1.64391,1.02382,0.009307,0.009307,0.009307
9,131.463,2.72332,2.03293,1.1736,0.38994,0.03979,0.21251,0.09025,2.43846,1.66172,1.04462,0.009208,0.009208,0.009208
10,145.598,2.72719,2.01665,1.17575,0.83542,0.07932,0.44778,0.22122,2.33232,1.6651,1.02436,0.009109,0.009109,0.009109
11,159.682,2.74225,2.02418,1.17279,0.33529,0.01829,0.17605,0.08455,2.42999,1.61719,1.03973,0.00901,0.00901,0.00901
12,173.604,2.70949,2.01401,1.15927,0.35135,0.00834,0.17963,0.09962,2.32834,1.62502,1.00934,0.008911,0.008911,0.008911
13,187.786,2.69832,2.01001,1.16564,0.84848,0.05818,0.44916,0.12588,2.49535,1.58187,1.04627,0.008812,0.008812,0.008812
14,201.94,2.71787,1.98257,1.1742,0.37805,0.02985,0.20237,0.09114,2.58869,1.6431,1.06832,0.008713,0.008713,0.008713
15,216.173,2.68943,1.96444,1.16481,0.41304,0.0061,0.20947,0.08022,2.72,1.72703,1.08936,0.008614,0.008614,0.008614
16,230.383,2.6974,1.96702,1.15164,0.77722,0.16694,0.4553,0.2129,2.28746,1.58445,1.02069,0.008515,0.008515,0.008515
17,244.604,2.66445,1.95015,1.14826,0.34335,0.06964,0.20061,0.0868,2.44402,1.69793,1.03598,0.008416,0.008416,0.008416
18,258.896,2.67088,1.9494,1.14314,0.58604,0.24077,0.38631,0.16101,2.36978,1.63068,1.01521,0.008317,0.008317,0.008317
19,273.062,2.68683,2.00096,1.14617,0.46429,0.00417,0.23426,0.11029,2.39984,1.7206,1.02945,0.008218,0.008218,0.008218
20,287.452,2.63593,1.93562,1.12497,0.77903,0.13682,0.45831,0.25542,2.32111,1.63657,0.99152,0.008119,0.008119,0.008119
21,301.776,2.64546,1.9403,1.1395,0.80766,0.10614,0.45422,0.19095,2.41232,1.5803,1.01824,0.00802,0.00802,0.00802
22,315.876,2.62109,1.93392,1.13684,0.57245,0.23619,0.41615,0.19975,2.39704,1.65271,1.02517,0.007921,0.007921,0.007921
23,330.051,2.64521,1.91682,1.12398,0.90359,0.10054,0.49867,0.24779,2.25798,1.56895,0.98966,0.007822,0.007822,0.007822
24,344.111,2.6168,1.89874,1.11855,0.77576,0.13811,0.45127,0.1993,2.45738,1.57963,1.02603,0.007723,0.007723,0.007723
25,357.975,2.59564,1.89926,1.1243,0.92,0.03865,0.47935,0.24631,2.41179,1.6222,1.01864,0.007624,0.007624,0.007624
26,372.372,2.60762,1.90276,1.11127,0.63575,0.27397,0.45092,0.21655,2.3579,1.63293,1.00482,0.007525,0.007525,0.007525
27,386.661,2.59187,1.87417,1.12457,0.6413,0.17878,0.42302,0.23751,2.30246,1.58456,0.99157,0.007426,0.007426,0.007426
28,400.799,2.59535,1.89634,1.11704,0.8871,0.06089,0.4739,0.26257,2.44351,1.65483,1.01595,0.007327,0.007327,0.007327
29,415.077,2.5821,1.87205,1.11552,0.8337,0.20794,0.51592,0.26065,2.32591,1.57992,0.99324,0.007228,0.007228,0.007228
30,429.212,2.60666,1.88955,1.11692,0.74446,0.23229,0.49398,0.26272,2.30199,1.59098,0.992,0.007129,0.007129,0.007129
31,443.614,2.57638,1.86076,1.10827,0.39819,0.05648,0.22373,0.09647,2.41379,1.52479,1.01007,0.00703,0.00703,0.00703
32,458.186,2.59333,1.89148,1.11068,0.7202,0.11017,0.4135,0.21915,2.28612,1.53506,0.99133,0.006931,0.006931,0.006931
33,472.377,2.56903,1.85588,1.10907,0.82108,0.10614,0.45949,0.2081,2.34539,1.54281,0.9937,0.006832,0.006832,0.006832
34,486.673,2.57091,1.84661,1.10851,0.68193,0.32514,0.51854,0.2263,2.4164,1.56917,1.01288,0.006733,0.006733,0.006733
35,500.971,2.56656,1.84081,1.11423,0.76667,0.15296,0.46813,0.19824,2.4538,1.55836,1.01739,0.006634,0.006634,0.006634
36,515.066,2.54756,1.82342,1.10496,0.76617,0.20129,0.48626,0.24892,2.295,1.5717,0.98391,0.006535,0.006535,0.006535
37,529.094,2.55238,1.85455,1.09931,0.81517,0.1166,0.46661,0.25217,2.45203,1.5698,1.01864,0.006436,0.006436,0.006436
38,543.493,2.54475,1.8615,1.10365,0.75432,0.28602,0.50539,0.21519,2.26915,1.47131,0.98213,0.006337,0.006337,0.006337
39,557.784,2.53038,1.82972,1.10243,0.71982,0.16882,0.43644,0.21874,2.29523,1.53014,0.99057,0.006238,0.006238,0.006238
40,572.091,2.51916,1.78545,1.09561,0.70349,0.27094,0.5022,0.249,2.27409,1.48622,0.98623,0.006139,0.006139,0.006139
41,586.481,2.52612,1.8224,1.09256,0.72951,0.33109,0.529,0.2473,2.23642,1.48314,0.98851,0.00604,0.00604,0.00604
42,600.809,2.54896,1.80446,1.10272,0.67659,0.22578,0.45491,0.23113,2.20937,1.48673,0.97531,0.005941,0.005941,0.005941
43,614.945,2.51925,1.81031,1.09771,0.79167,0.11962,0.45391,0.23704,2.29873,1.528,0.9893,0.005842,0.005842,0.005842
44,629.075,2.51463,1.80337,1.08937,0.73513,0.24228,0.47828,0.23533,2.2777,1.48578,0.98207,0.005743,0.005743,0.005743
45,643.376,2.50151,1.79024,1.0951,0.6829,0.3731,0.50961,0.22579,2.28201,1.52124,0.99398,0.005644,0.005644,0.005644
46,657.661,2.517,1.78506,1.09644,0.65921,0.20908,0.41725,0.19938,2.32901,1.51837,0.99613,0.005545,0.005545,0.005545
47,672.079,2.5064,1.79098,1.08927,0.64842,0.34815,0.51257,0.24971,2.26929,1.47312,0.99708,0.005446,0.005446,0.005446
48,686.275,2.52447,1.7914,1.08512,0.74611,0.24054,0.49178,0.25105,2.2551,1.48628,0.97424,0.005347,0.005347,0.005347
49,700.44,2.51876,1.78306,1.09418,0.8223,0.21033,0.52393,0.27808,2.27517,1.5277,0.98493,0.005248,0.005248,0.005248
50,714.505,2.49999,1.78075,1.08923,0.76329,0.28002,0.52727,0.28003,2.14191,1.48695,0.9654,0.005149,0.005149,0.005149
51,728.633,2.50622,1.77116,1.09031,0.72722,0.28332,0.51386,0.24059,2.38682,1.52031,1.00003,0.00505,0.00505,0.00505
52,742.748,2.52386,1.80743,1.08782,0.72727,0.23674,0.50918,0.2133,2.32806,1.52002,0.99642,0.004951,0.004951,0.004951
53,757.11,2.48029,1.75856,1.07964,0.72086,0.32953,0.5238,0.24387,2.17046,1.46105,0.96861,0.004852,0.004852,0.004852
54,771.385,2.52278,1.7759,1.0853,0.59645,0.40845,0.50071,0.22221,2.25408,1.46814,0.97902,0.004753,0.004753,0.004753
55,785.87,2.48056,1.75403,1.08407,0.66213,0.36269,0.51079,0.25954,2.20016,1.44518,0.96842,0.004654,0.004654,0.004654
56,799.956,2.47688,1.7455,1.08232,0.65419,0.25558,0.4657,0.24583,2.16405,1.4708,0.97551,0.004555,0.004555,0.004555
